created_date,transaction_id,transaction_type,transaction_amount,user_id,first_login_date
6/10/2023,GDP23061032292866A,apple,9693.75,66438777,6/8/2023
6/11/2023,GDP23061132297778A,apple,9693.75,66438777,6/8/2023
6/8/2023,GDP23060832281857A,apple,19485.41667,66438777,6/8/2023
6/9/2023,GDP23060932290365A,apple,19485.41667,66438777,6/8/2023
6/10/2023,GDP23061032296255G,google,9693.75,66496542,6/10/2023
6/10/2023,GDP23061032293588B,bank,83333.33333,66174632,4/14/2023
6/9/2023,GDP23060932285182B,bank,41666.66667,66174632,4/14/2023
6/9/2023,GDP23060932285184B,bank,41666.66667,66174632,4/14/2023
6/9/2023,GDP23060932285200B,bank,41666.66667,66174632,4/14/2023
6/10/2023,GDP23061032293570B,bank,125000,66174632,4/14/2023
6/11/2023,GDP23061132297545B,bank,125000,66174632,4/14/2023
6/6/2023,GDP23060632268062B,bank,208333.3333,66174632,4/14/2023
6/6/2023,GDP23060632268273B,bank,208333.3333,66174632,4/14/2023
6/9/2023,GDP23060932284434B,bank,208333.3333,66174632,4/14/2023
6/9/2023,GDP23060932285206B,bank,208333.3333,66174632,4/14/2023
6/10/2023,GDP23061032292294B,bank,208333.3333,66174632,4/14/2023
6/10/2023,GDP23061032292316B,bank,208333.3333,66174632,4/14/2023
6/14/2023,GDP23061432319189B,bank,208333.3333,66174632,4/14/2023
6/15/2023,GDP23061532319938B,bank,208333.3333,66174632,4/14/2023
6/15/2023,GDP23061532319940B,bank,83333.33333,66174632,4/14/2023
6/16/2023,GDP23061632326583B,bank,208333.3333,66174632,4/14/2023
6/16/2023,GDP23061632326766B,bank,125000,66174632,4/14/2023
6/26/2023,GDP23062632393702B,bank,83333.33333,66174632,4/14/2023
6/18/2023,GDP23061832342225B,bank,41666.66667,66174632,4/14/2023
6/26/2023,GDP23062632393739B,bank,125000,66174632,4/14/2023
6/23/2023,GDP23062332373627B,bank,125000,66174632,4/14/2023
6/22/2023,GDP23062232367717B,bank,125000,66174632,4/14/2023
6/30/2023,GDP23063032425826B,bank,208333.3333,66174632,4/14/2023
6/30/2023,GDP23063032425861B,bank,208333.3333,66174632,4/14/2023
6/26/2023,GDP23062632393709B,bank,208333.3333,66174632,4/14/2023
6/23/2023,GDP23062332373356B,bank,208333.3333,66174632,4/14/2023
6/18/2023,GDP23061832341180B,bank,208333.3333,66174632,4/14/2023
6/18/2023,GDP23061832341194B,bank,208333.3333,66174632,4/14/2023
6/18/2023,GDP23061832341240B,bank,208333.3333,66174632,4/14/2023
6/20/2023,GDP23062032352453B,bank,208333.3333,66174632,4/14/2023
6/30/2023,GDP23063032421739B,bank,208333.3333,66174632,4/14/2023
6/5/2023,GDP23060532258055E,ewallet,83333.33333,66175244,4/14/2023
6/8/2023,GDP23060832277142E,ewallet,20833.33333,63710652,4/27/2023
6/8/2023,GDP23060832283086E,ewallet,20833.33333,63710652,4/27/2023
6/8/2023,GDP23060832277144E,ewallet,4166.666667,63710652,4/27/2023
6/5/2023,GDP23060532258065E,ewallet,8333.333333,63710652,4/27/2023
6/12/2023,GDP23061232305840E,ewallet,8333.333333,63710652,4/27/2023
6/19/2023,GDP23061932351382E,ewallet,41666.66667,63710652,4/27/2023
6/19/2023,GDP23061932351617E,ewallet,125000,63710652,4/27/2023
6/22/2023,GDP23062232368281E,ewallet,20833.33333,63710652,4/27/2023
6/22/2023,GDP23062232371159E,ewallet,20833.33333,63710652,4/27/2023
6/19/2023,GDP23061932350668E,ewallet,41666.66667,63710652,4/27/2023
6/26/2023,GDP23062632396922E,ewallet,8333.333333,63710652,4/27/2023
6/20/2023,GDP23062032353979E,ewallet,8333.333333,63710652,4/27/2023
6/19/2023,GDP23061932349299E,ewallet,8333.333333,63710652,4/27/2023
6/23/2023,GDP23062332376510E,ewallet,8333.333333,63710652,4/27/2023
6/24/2023,GDP23062432383972E,ewallet,8333.333333,63710652,4/27/2023
6/25/2023,GDP23062532390205E,ewallet,8333.333333,63710652,4/27/2023
6/27/2023,GDP23062732402805E,ewallet,8333.333333,63710652,4/27/2023
6/19/2023,GDP23061932350515E,ewallet,208333.3333,63710652,4/27/2023
6/27/2023,GDP23062732405995G,google,9693.75,54221026,9/16/2020
6/29/2023,GDP23062932414705G,google,9693.75,54221026,9/16/2020
6/22/2023,GDP23062232372556C,card,4166.666667,66530371,6/21/2023
6/26/2023,GDP23062632398841C,card,20833.33333,62973580,5/24/2021
6/24/2023,GDP23062432385026C,card,41666.66667,62973580,5/24/2021
6/24/2023,GDP23062432385573C,card,41666.66667,62973580,5/24/2021
6/24/2023,GDP23062432385595C,card,41666.66667,62973580,5/24/2021
6/24/2023,GDP23062432385602C,card,41666.66667,62973580,5/24/2021
6/24/2023,GDP23062432385611C,card,41666.66667,62973580,5/24/2021
6/26/2023,GDP23062632398828C,card,208333.3333,62973580,5/24/2021
6/23/2023,GDP23062332378507C,card,208333.3333,62973580,5/24/2021
6/4/2023,GDP23060432253064G,google,9693.75,64834342,6/3/2023
6/11/2023,GDP23061132298460G,google,9693.75,64834342,6/3/2023
6/10/2023,GDP23061032296113A,apple,9693.75,59855098,6/10/2023
6/10/2023,GDP23061032296133A,apple,9693.75,59855098,6/10/2023
6/10/2023,GDP23061032292798A,apple,19485.41667,59855098,6/10/2023
6/10/2023,GDP23061032293789G,google,9693.75,66494601,6/10/2023
6/10/2023,GDP23061032295390G,google,9693.75,66496194,6/10/2023
6/5/2023,GDP23060532258856C,card,208333.3333,66397659,5/25/2023
6/5/2023,GDP23060532258873C,card,208333.3333,66397659,5/25/2023
6/9/2023,GDP23060932289924C,card,208333.3333,66397659,5/25/2023
6/5/2023,GDP23060532258866C,card,416666.6667,66397659,5/25/2023
6/9/2023,GDP23060932289920C,card,416666.6667,66397659,5/25/2023
6/1/2023,GDP23060132240057A,apple,9693.75,66397659,5/25/2023
6/1/2023,GDP23060132241729A,apple,48860.41667,66397659,5/25/2023
6/2/2023,GDP23060232242426A,apple,48860.41667,66397659,5/25/2023
6/16/2023,GDP23061632331191C,card,83333.33333,66397659,5/25/2023
6/16/2023,GDP23061632331211C,card,83333.33333,66397659,5/25/2023
6/16/2023,GDP23061632331215C,card,41666.66667,66397659,5/25/2023
6/24/2023,GDP23062432381050E,ewallet,208333.3333,66397659,5/25/2023
6/16/2023,GDP23061632331204C,card,416666.6667,66397659,5/25/2023
6/29/2023,GDP23062932414519E,ewallet,8333.333333,28965574,2/2/2021
6/30/2023,GDP23063032420932E,ewallet,8333.333333,28965574,2/2/2021
6/29/2023,GDP23062932418548E,ewallet,41666.66667,28965574,2/2/2021
6/3/2023,GDP23060332248863B,bank,41666.66667,63431300,7/19/2021
6/3/2023,GDP23060332248858B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291937B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291939B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291943B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291948B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291950B,bank,41666.66667,63431300,7/19/2021
6/10/2023,GDP23061032291953B,bank,208333.3333,63431300,7/19/2021
